host	port	state	proto	name	created_at	updated_at	info
10.0.2.4	80		tcp	http		1685711860915	Apache httpd 2.4.38 (Debian)
10.0.2.4	22		tcp	ssh		1685711858619	OpenSSH 7.9p1 Debian 10+deb10u2 protocol 2.0
